                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                 1.3717,                0.74981,                 1.2399,                0.95255,                 0.9478,                0.97807,                0.62873,                 1.2411,                0.63915,                0.94638,              0.0005249,              0.0005249,              0.0005249
                    152,                 1.4074,                0.78154,                 1.2343,                0.95666,                0.94746,                 0.9703,                0.60433,                 1.3295,                0.66798,                0.97701,               0.000515,               0.000515,               0.000515
                    153,                  1.437,                0.80449,                 1.2773,                0.95314,                0.95279,                0.97716,                0.62751,                 1.2714,                0.67098,                 0.9665,              0.0005051,              0.0005051,              0.0005051
                    154,                 1.3562,                0.77767,                  1.256,                0.96254,                0.96996,                0.99123,                0.64403,                 1.2103,                 0.6691,                0.95218,              0.0004952,              0.0004952,              0.0004952
                    155,                 1.4444,                0.81617,                 1.2531,                0.94522,                0.97854,                0.98799,                0.63647,                 1.2122,                0.63343,                0.94819,              0.0004853,              0.0004853,              0.0004853
                    156,                 1.4129,                0.78797,                  1.289,                0.97752,                0.93311,                0.98988,                0.65298,                  1.208,                0.64916,                0.94492,              0.0004754,              0.0004754,              0.0004754
                    157,                 1.4459,                0.83337,                 1.2783,                0.96532,                0.96137,                0.99161,                0.66053,                 1.1598,                 0.6198,                0.92785,              0.0004655,              0.0004655,              0.0004655
                    158,                 1.3687,                0.79474,                 1.2565,                0.97747,                0.93106,                0.97934,                0.63231,                 1.2504,                0.63395,                0.95704,              0.0004556,              0.0004556,              0.0004556
                    159,                 1.3893,                0.83891,                  1.302,                 0.9779,                0.94948,                0.99137,                0.65651,                 1.1857,                0.63818,                0.95324,              0.0004457,              0.0004457,              0.0004457
                    160,                 1.4048,                0.74803,                 1.2112,                0.94774,                0.95279,                0.98154,                0.60138,                 1.2313,                0.68918,                0.95987,              0.0004358,              0.0004358,              0.0004358
                    161,                 1.3266,                0.73246,                 1.1701,                0.96534,                0.95628,                0.98612,                 0.6603,                 1.1783,                0.63862,                0.94702,              0.0004259,              0.0004259,              0.0004259
                    162,                 1.3884,                0.76185,                 1.2266,                 0.9537,                0.97237,                0.99044,                0.64848,                 1.2161,                0.65063,                0.95385,               0.000416,               0.000416,               0.000416
                    163,                 1.4438,                0.81658,                 1.2575,                0.95734,                0.96304,                0.99112,                0.66416,                 1.1608,                0.63836,                0.94763,              0.0004061,              0.0004061,              0.0004061
                    164,                 1.3424,                0.76889,                 1.2588,                0.96819,                0.95708,                 0.9867,                0.65892,                 1.1748,                0.61336,                0.94768,              0.0003962,              0.0003962,              0.0003962
                    165,                 1.3619,                0.77263,                 1.2568,                0.96194,                0.97616,                0.98969,                0.65196,                 1.1776,                0.61243,                0.93406,              0.0003863,              0.0003863,              0.0003863
                    166,                 1.3718,                0.72653,                 1.1871,                0.96217,                 0.9824,                0.98961,                0.65904,                 1.1857,                  0.619,                0.93322,              0.0003764,              0.0003764,              0.0003764
                    167,                 1.3451,                0.77307,                 1.2437,                0.95939,                0.97425,                0.98276,                 0.6723,                 1.1388,                 0.6239,                0.92115,              0.0003665,              0.0003665,              0.0003665
                    168,                 1.3127,                0.75472,                 1.2484,                0.98635,                0.96567,                0.98692,                0.67071,                 1.1391,                0.64619,                 0.9269,              0.0003566,              0.0003566,              0.0003566
                    169,                 1.3107,                0.74163,                 1.2166,                0.96565,                0.96567,                0.97862,                0.66952,                 1.1604,                0.62133,                0.92355,              0.0003467,              0.0003467,              0.0003467
                    170,                 1.2642,                0.68251,                 1.1955,                0.95969,                0.96137,                  0.982,                0.66467,                 1.1628,                0.60566,                0.92397,              0.0003368,              0.0003368,              0.0003368
                    171,                 1.3213,                0.70628,                 1.1574,                0.95941,                 0.9485,                0.97258,                0.65792,                 1.1654,                0.60798,                0.93287,              0.0003269,              0.0003269,              0.0003269
                    172,                 1.3246,                0.74654,                 1.2761,                0.97387,                0.95979,                0.98969,                0.67329,                 1.1503,                0.60376,                0.93297,               0.000317,               0.000317,               0.000317
                    173,                 1.3051,                0.74719,                 1.2598,                0.99123,                0.97063,                0.99266,                0.67732,                 1.1396,                0.62433,                0.93377,              0.0003071,              0.0003071,              0.0003071
                    174,                  1.291,                0.71458,                  1.159,                0.98263,                0.97114,                 0.9928,                0.67385,                 1.1314,                0.61556,                0.92897,              0.0002972,              0.0002972,              0.0002972
                    175,                 1.2113,                0.68039,                 1.2032,                0.97788,                0.94879,                0.98231,                0.66727,                 1.1516,                0.60002,                0.92756,              0.0002873,              0.0002873,              0.0002873
                    176,                 1.3699,                0.72592,                 1.2198,                0.97997,                0.96137,                0.98364,                0.65268,                 1.2374,                0.61653,                0.95556,              0.0002774,              0.0002774,              0.0002774
                    177,                 1.2457,                0.72531,                 1.2387,                0.97227,                0.98283,                0.98937,                0.68178,                 1.1527,                0.61267,                0.92964,              0.0002675,              0.0002675,              0.0002675
                    178,                 1.2753,                0.70572,                 1.1738,                0.96678,                0.96996,                0.98008,                 0.6793,                 1.1439,                0.61899,                0.92439,              0.0002576,              0.0002576,              0.0002576
                    179,                 1.3116,                0.73143,                 1.2961,                0.97026,                0.98283,                0.99315,                0.67799,                 1.1581,                 0.6136,                0.93269,              0.0002477,              0.0002477,              0.0002477
                    180,                 1.2322,                0.73458,                 1.1777,                0.97782,                0.96996,                0.98914,                0.68626,                 1.1236,                0.62192,                 0.9357,              0.0002378,              0.0002378,              0.0002378
                    181,                 1.2861,                0.70014,                 1.1798,                0.97814,                0.96005,                0.98294,                0.67238,                 1.1421,                0.62374,                0.93885,              0.0002279,              0.0002279,              0.0002279
                    182,                 1.2708,                0.68242,                 1.1083,                0.97959,                0.95708,                0.98415,                0.69514,                 1.1065,                0.60335,                0.92206,               0.000218,               0.000218,               0.000218
                    183,                 1.2578,                0.68275,                 1.1232,                0.97833,                0.96895,                0.98431,                0.67648,                 1.1423,                0.60438,                0.92042,              0.0002081,              0.0002081,              0.0002081
                    184,                 1.3076,                0.72281,                 1.1831,                0.98542,                0.96567,                0.99183,                0.69062,                 1.1074,                0.57611,                0.91775,              0.0001982,              0.0001982,              0.0001982
                    185,                 1.1668,                0.64178,                 1.1753,                0.99123,                 0.9704,                0.99355,                0.69891,                 1.0952,                0.56922,                0.91075,              0.0001883,              0.0001883,              0.0001883
                    186,                 1.2331,                0.69668,                 1.1683,                0.98234,                0.96137,                0.98254,                0.68977,                 1.1189,                0.58181,                 0.9214,              0.0001784,              0.0001784,              0.0001784
                    187,                 1.2149,                0.71121,                 1.1439,                0.98246,                0.96567,                0.98269,                0.67745,                 1.1223,                0.58175,                0.92201,              0.0001685,              0.0001685,              0.0001685
                    188,                  1.317,                0.72295,                 1.2418,                0.97433,                0.97758,                0.98425,                0.67862,                 1.1156,                0.57926,                0.91769,              0.0001586,              0.0001586,              0.0001586
                    189,                 1.1975,                0.67637,                 1.1643,                0.97009,                0.97437,                0.99205,                0.68748,                 1.1248,                0.58069,                0.91162,              0.0001487,              0.0001487,              0.0001487
                    190,                 1.2797,                0.71855,                 1.2332,                0.97768,                0.98283,                0.99333,                0.70021,                 1.1017,                0.57625,                0.90855,              0.0001388,              0.0001388,              0.0001388
                    191,                 1.1888,                0.67823,                 1.1159,                0.97988,                0.98283,                 0.9934,                 0.6933,                 1.1056,                0.57503,                0.90364,              0.0001289,              0.0001289,              0.0001289
                    192,                 1.2068,                0.66381,                 1.0976,                0.97017,                0.97723,                 0.9835,                0.68175,                   1.13,                0.56953,                0.90433,               0.000119,               0.000119,               0.000119
                    193,                 1.1954,                0.67293,                 1.1248,                  0.966,                0.97854,                0.98234,                0.66869,                 1.1593,                0.57336,                0.91243,              0.0001091,              0.0001091,              0.0001091
                    194,                 1.1557,                0.64087,                 1.1006,                0.96196,                 0.9769,                0.98208,                0.67859,                 1.1486,                0.57603,                0.91477,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                 1.1491,                0.62644,                 1.0599,                0.96527,                0.97854,                0.98324,                  0.681,                 1.1442,                0.57586,                0.91449,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                 1.1685,                0.63824,                 1.1153,                0.97027,                 0.9805,                0.98362,                0.68251,                 1.1349,                0.57436,                0.91275,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                  1.119,                0.61961,                 1.0759,                 0.9713,                0.97854,                0.98364,                0.68742,                  1.121,                 0.5734,                0.90773,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                 1.1274,                0.61184,                 1.0556,                0.96684,                0.98283,                 0.9835,                0.68759,                 1.1202,                0.57432,                0.90603,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                 1.1414,                0.59924,                 1.0656,                0.96622,                0.98217,                0.98929,                0.69238,                 1.1075,                0.57023,                0.90429,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                 1.1122,                0.63507,                 1.1131,                0.97016,                0.97675,                0.98339,                0.69533,                  1.101,                0.56903,                0.90269,               3.98e-05,               3.98e-05,               3.98e-05
