                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2367,                 1.6027,                  1.646,                0.83314,                0.75005,                 0.8233,                 0.3412,                 1.8885,                 1.4047,                 1.2549,              0.0016832,              0.0016832,              0.0016832
                     35,                 2.1304,                 1.5894,                 1.6608,                0.93851,                0.74678,                0.87253,                0.43149,                 1.7848,                 1.1027,                 1.2466,              0.0016733,              0.0016733,              0.0016733
                     36,                 2.2994,                 1.6172,                 1.6799,                0.80319,                0.75314,                0.80693,                0.37115,                 1.8894,                 1.4502,                 1.3024,              0.0016634,              0.0016634,              0.0016634
                     37,                 2.2081,                 1.5217,                 1.7052,                0.95786,                0.78054,                0.89552,                0.41552,                 1.8399,                 1.1089,                 1.2405,              0.0016535,              0.0016535,              0.0016535
                     38,                 2.1896,                 1.4899,                 1.6038,                0.76128,                0.75275,                0.80008,                0.32901,                  2.058,                 1.2707,                 1.3545,              0.0016436,              0.0016436,              0.0016436
                     39,                 2.1341,                 1.4642,                 1.6053,                0.86563,                0.72532,                 0.8506,                0.39424,                 1.7914,                  1.128,                 1.2085,              0.0016337,              0.0016337,              0.0016337
                     40,                 2.1108,                 1.4175,                  1.628,                0.76946,                0.75919,                 0.8056,                0.34128,                 1.8915,                 1.2133,                 1.2442,              0.0016238,              0.0016238,              0.0016238
                     41,                 2.1493,                 1.3579,                 1.6074,                0.89907,                0.76395,                0.86196,                0.43134,                 1.7767,                 1.0045,                 1.1977,              0.0016139,              0.0016139,              0.0016139
                     42,                 2.0549,                  1.291,                 1.5451,                0.83565,                0.78559,                 0.8595,                0.40308,                 1.8602,                 1.0904,                 1.2336,               0.001604,               0.001604,               0.001604
                     43,                 2.0858,                 1.4098,                 1.6115,                0.80725,                0.84979,                0.87523,                0.41819,                 1.7628,                 1.0394,                 1.2311,              0.0015941,              0.0015941,              0.0015941
                     44,                 2.0692,                 1.3919,                 1.5972,                0.93173,                0.74249,                0.88646,                0.43456,                 1.7894,                 1.0393,                 1.2345,              0.0015842,              0.0015842,              0.0015842
                     45,                 2.1177,                 1.3063,                 1.5393,                 0.8828,                0.83691,                0.91047,                0.42496,                 1.7889,                  0.986,                 1.2263,              0.0015743,              0.0015743,              0.0015743
                     46,                 2.0151,                 1.2974,                 1.5462,                 0.9183,                0.76824,                0.86538,                0.38453,                 1.8115,                 1.0692,                 1.1822,              0.0015644,              0.0015644,              0.0015644
                     47,                 2.0656,                 1.2956,                 1.5843,                0.83494,                0.78158,                0.85079,                0.43471,                  1.759,                 1.1159,                 1.1931,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.9901,                 1.3159,                 1.4722,                0.92708,                0.75536,                0.87686,                0.38718,                 1.7561,                 1.1271,                 1.1898,              0.0015446,              0.0015446,              0.0015446
